Year,Area,Item,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,hg/ha_yield
1990,India,Wheat,1160,280,28.3,1905.0
1990,India,Rice,1938,131,13.9,2003.4
1990,India,Maize,1782,97,18.34,2307.2
1990,India,Barley,430,159,11.41,890.9
1990,India,Soybean,1815,423,15.31,2335.9
1990,USA,Wheat,1255,286,25.44,1634.6
1990,USA,Rice,321,262,20.8,1132.8
1990,USA,Maize,774,68,20.0,1030.2
1990,USA,Barley,1275,280,21.4,2052.0
1990,USA,Soybean,862,373,22.86,2038.0
1990,Brazil,Wheat,1828,140,31.5,2073.4
1990,Brazil,Rice,2368,338,11.63,2841.1
1990,Brazil,Maize,900,325,24.08,1905.2
1990,Brazil,Barley,2912,395,27.11,3214.5
1990,Brazil,Soybean,1778,437,22.38,3014.6
1990,China,Wheat,334,215,19.78,1060.4
1990,China,Rice,1321,399,15.2,2473.8
1990,China,Maize,1800,200,31.06,2084.4
1990,China,Barley,461,211,32.37,736.1
1990,China,Soybean,1115,280,12.21,2055.9
1990,Australia,Wheat,1575,199,18.13,2195.7
1990,Australia,Rice,637,376,30.72,1875.4
1990,Australia,Maize,2564,261,25.18,2813.4
1990,Australia,Barley,1480,24,14.13,1946.7
1990,Australia,Soybean,2868,353,19.87,3448.7
1990,Nigeria,Wheat,1795,72,30.39,1868.1
1990,Nigeria,Rice,691,172,29.75,977.3
1990,Nigeria,Maize,2096,499,18.96,2525.2
1990,Nigeria,Barley,2482,210,25.58,3078.8
1990,Nigeria,Soybean,802,416,26.72,2010.4
1990,Argentina,Wheat,2446,181,25.94,3045.4
1990,Argentina,Rice,1870,458,19.57,3158.3
1990,Argentina,Maize,1785,140,29.02,1634.8
1990,Argentina,Barley,802,264,16.4,1799.6
1990,Argentina,Soybean,692,216,20.69,1331.7
1991,India,Wheat,1784,188,10.79,2437.3
1991,India,Rice,863,105,27.39,1110.5
1991,India,Maize,2578,246,23.5,2859.4
1991,India,Barley,1359,22,11.92,1710.0
1991,India,Soybean,2119,75,25.61,2162.1
1991,USA,Wheat,2993,293,30.09,3234.5
1991,USA,Rice,1663,295,32.08,2238.6
1991,USA,Maize,1829,357,18.91,2177.1
1991,USA,Barley,1708,386,26.19,2508.5
1991,USA,Soybean,2975,470,31.52,3362.8
1991,Brazil,Wheat,1009,465,23.35,1820.7
1991,Brazil,Rice,1557,181,16.1,2272.6
1991,Brazil,Maize,1931,481,27.58,2343.0
1991,Brazil,Barley,2153,451,34.06,2792.8
1991,Brazil,Soybean,1936,122,34.94,2141.4
1991,China,Wheat,2460,11,22.57,2329.3
1991,China,Rice,1154,494,18.63,2108.9
1991,China,Maize,1961,139,23.27,2343.1
1991,China,Barley,1995,207,16.05,2684.5
1991,China,Soybean,502,193,15.94,1394.2
1991,Australia,Wheat,593,289,21.76,1443.8
