Year,Area,Item,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,hg/ha_yield
1990,India,Wheat,1160,280,28.3,4272
1990,India,Rice,1938,131,13.9,4926
1990,India,Maize,1782,97,18.34,3419
1990,India,Barley,430,159,11.41,2891
1990,India,Soybean,1815,423,15.31,1684
1990,USA,Wheat,759,323,23.12,3404
1990,USA,Rice,774,68,20.0,2547
1990,USA,Maize,1275,280,21.4,3234
1990,USA,Barley,862,373,22.86,2028
1990,USA,Soybean,946,30,21.26,2935
1990,Brazil,Wheat,900,325,24.08,2541
1990,Brazil,Rice,2912,395,27.11,1978
1990,Brazil,Maize,2856,273,10.86,3652
1990,Brazil,Barley,2255,59,26.56,3573
1990,Brazil,Soybean,1321,399,15.2,4343
1990,China,Wheat,1800,200,31.06,661
1990,China,Rice,501,455,33.17,3842
1990,China,Maize,755,471,14.9,1516
1990,China,Barley,2643,222,19.72,837
1990,China,Soybean,1178,62,24.67,879
1990,Australia,Wheat,792,50,17.41,4384
1990,Australia,Rice,364,354,34.67,2527
1990,Australia,Maize,2995,481,10.35,891
1990,Australia,Barley,1998,428,29.28,4061
1990,Australia,Soybean,2578,50,32.87,700
1990,Nigeria,Wheat,2163,277,18.27,2954
1990,Nigeria,Rice,2051,302,28.24,3273
1990,Nigeria,Maize,1870,458,19.57,3190
1990,Nigeria,Barley,1328,227,15.9,4993
1990,Nigeria,Soybean,1170,292,23.07,1984
1990,Argentina,Wheat,1163,240,21.88,4691
1990,Argentina,Rice,2223,231,13.48,2178
1990,Argentina,Maize,840,45,33.57,2222
1990,Argentina,Barley,2119,75,25.61,2097
1990,Argentina,Soybean,2993,293,30.09,4127
1991,India,Wheat,1663,295,32.08,2163
1991,India,Rice,1829,357,18.91,2737
1991,India,Maize,1708,386,26.19,3175
1991,India,Barley,1272,242,17.62,1209
1991,India,Soybean,1779,420,20.44,4248
1991,USA,Wheat,1557,181,16.1,3945
1991,USA,Rice,1931,481,27.58,2353
1991,USA,Maize,1820,451,34.06,4081
1991,USA,Barley,1936,122,34.94,1198
1991,USA,Soybean,2460,11,22.57,1354
1991,Brazil,Wheat,2059,234,25.86,2207
1991,Brazil,Rice,1995,207,16.05,4010
1991,Brazil,Maize,502,193,15.94,1266
1991,Brazil,Barley,593,289,21.76,697
1991,Brazil,Soybean,2230,249,29.96,3772
1991,China,Wheat,1447,196,14.66,2294
1991,China,Rice,959,261,26.94,1869
1991,China,Maize,2286,156,18.72,2234
1991,China,Barley,2143,498,27.27,2885
1991,China,Soybean,940,276,18.53,4561
1991,Australia,Wheat,1934,272,26.5,1123
1991,Australia,Rice,1316,69,16.52,4223
1991,Australia,Maize,752,46,32.07,2556
1991,Australia,Barley,1982,313,31.17,4999
1991,Australia,Soybean,2499,63,29.5,4491
1991,Nigeria,Wheat,927,84,33.39,1945
1991,Nigeria,Rice,403,349,24.52,3683
1991,Nigeria,Maize,2857,482,26.59,3461
1991,Nigeria,Barley,2219,375,23.72,3369
1991,Nigeria,Soybean,1256,178,14.4,4993
1991,Argentina,Wheat,1600,313,28.66,1718
1991,Argentina,Rice,700,137,24.21,1454
1991,Argentina,Maize,769,384,16.26,2193
1991,Argentina,Barley,2385,239,19.83,2985
1991,Argentina,Soybean,2099,292,20.86,1459
1992,India,Wheat,1804,462,15.75,1315
1992,India,Rice,958,13,10.61,3620
1992,India,Maize,316,181,33.51,3024
1992,India,Barley,1369,382,32.09,1560
1992,India,Soybean,2627,358,20.7,4776
1992,USA,Wheat,906,108,34.51,1639
1992,USA,Rice,490,262,19.63,1684
1992,USA,Maize,427,27,23.92,1069
1992,USA,Barley,1646,369,11.76,4514
1992,USA,Soybean,1986,459,16.35,3037
1992,Brazil,Wheat,1709,483,28.52,4841
1992,Brazil,Rice,1800,179,30.23,2341
1992,Brazil,Maize,1220,417,32.83,3450
1992,Brazil,Barley,335,182,14.86,4347
1992,Brazil,Soybean,2859,409,11.27,1666
1992,China,Wheat,1415,363,12.35,3274
1992,China,Rice,2282,351,18.2,4269
1992,China,Maize,874,199,17.16,2215
1992,China,Barley,981,335,17.58,2991
1992,China,Soybean,2960,490,30.7,3551
1992,Australia,Wheat,304,112,12.13,1376
1992,Australia,Rice,1291,381,20.28,4864
1992,Australia,Maize,669,133,27.86,2182
1992,Australia,Barley,956,129,16.77,4175
